Iced Macchiato,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Pink Velvet Swirl Iced Macchiato with Skim Milk - Large,Large,310,0.5,0,0,5,210,62,0,59,42,12,3,754,444,0
Pink Velvet Swirl Iced Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,160,46,0,44,31,9,2,572,332,0
Pink Velvet Swirl Iced Macchiato with Skim Milk - Small,Small,160,0,0,0,5,105,31,0,30,21,6,1,400,223,0
Pink Velvet Swirl Iced Macchiato with Whole Milk - Large,Large,370,8,4.5,0,25,210,61,0,59,42,11,3,694,421,0
Pink Velvet Swirl Iced Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,160,46,0,44,31,9,2,528,315,0
Pink Velvet Swirl Iced Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,110,31,0,29,21,6,2,370,211,0
Toasted White Chocolate Swirl Iced Macchiato with Skim Milk - Large,Large,310,0.5,0,0,5,200,63,0,60,42,11,3,725,442,0
Toasted White Chocolate Swirl Iced Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,150,47,0,45,32,8,2,551,331,0
Toasted White Chocolate Swirl Iced Macchiato with Skim Milk - Small,Small,160,0,0,0,5,105,32,0,30,21,6,1,386,221,0
Toasted White Chocolate Swirl Iced Macchiato with Whole Milk - Large,Large,370,8,4.5,0,25,210,63,0,59,42,10,3,665,419,0
Toasted White Chocolate Swirl Iced Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,150,47,0,44,32,8,2,506,314,0
Toasted White Chocolate Swirl Iced Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,105,32,0,30,21,5,2,356,210,0
Butter Pecan Swirl Iced Macchiato with Skim Milk - Large,Large,310,0,0,0,5,390,64,0,60,42,12,3,704,447,0
Butter Pecan Swirl Iced Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,290,48,0,45,31,9,2,535,335,0
Butter Pecan Swirl Iced Macchiato with Skim Milk - Small,Small,160,0,0,0,5,200,33,0,30,21,6,1,375,224,0
Butter Pecan Swirl Iced Macchiato with Whole Milk - Large,Large,380,8,4.5,0,25,390,64,0,60,42,11,3,644,424,0
Butter Pecan Swirl Iced Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,300,48,0,45,31,8,2,490,318,0
Butter Pecan Swirl Iced Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,200,32,0,30,21,6,2,345,213,0
Caramel Swirl Iced Macchiato with Skim Milk - Large,Large,310,0,0,0,10,200,66,0,63,46,11,3,872,420,0
Caramel Swirl Iced Macchiato with Skim Milk - Medium,Medium,240,0,0,0,5,150,49,0,47,35,8,2,661,314,0
Caramel Swirl Iced Macchiato with Skim Milk - Small,Small,160,0,0,0,5,105,33,0,32,23,6,1,459,211,0
Caramel Swirl Iced Macchiato with Whole Milk - Large,Large,380,8,4.5,0,30,200,65,0,63,46,11,3,812,397,0
Caramel Swirl Iced Macchiato with Whole Milk - Medium,Medium,290,6,3.5,0,20,150,49,0,47,35,8,2,616,297,0
Caramel Swirl Iced Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,105,33,0,31,23,5,2,429,199,0
French Vanilla Swirl Iced Macchiato with Skim Milk - Large,Large,310,0,0,0,10,190,65,0,61,42,11,3,835,401,0
French Vanilla Swirl Iced Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,150,49,0,46,31,8,2,633,300,0
French Vanilla Swirl Iced Macchiato with Skim Milk - Small,Small,160,0,0,0,5,100,33,0,30,21,5,1,441,201,0
French Vanilla Swirl Iced Macchiato with Whole Milk - Large,Large,380,8,4.5,0,30,200,65,0,60,42,10,3,776,378,0
French Vanilla Swirl Iced Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,150,49,0,45,31,8,2,588,283,0
French Vanilla Swirl Iced Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,100,33,0,30,21,5,2,411,189,0
Iced Macchiato with Coconutmilk - Large,Large,50,4,3.5,0,0,80,3,0,0,0,1,3,456,523,1
Iced Macchiato with Coconutmilk - Medium,Medium,40,3,2.5,0,0,60,3,0,0,0,0,2,349,391,0
Iced Macchiato with Coconutmilk - Small,Small,30,2,1.5,0,0,40,2,0,0,0,0,2,251,262,0
Iced Macchiato with Oatmilk - Large,Large,120,3.5,0.5,0,0,150,23,3,5,4,2,6,532,352,0
Iced Macchiato with Oatmilk - Medium,Medium,90,2.5,0,0,0,110,17,2,4,3,2,4,406,263,0
Iced Macchiato with Oatmilk - Small,Small,60,2,0,0,0,75,12,1,2,2,1,3,289,177,0
Iced Macchiato with Skim Milk - Large,Large,90,0,0,0,5,135,14,0,12,0,8,3,525,317,0
Iced Macchiato with Skim Milk - Medium,Medium,70,0,0,0,5,100,11,0,9,0,6,2,400,237,0
Iced Macchiato with Skim Milk - Small,Small,50,0,0,0,0,70,7,0,6,0,4,1,286,159,0
Iced Macchiato with Skim Milk and Sugar - Large,Large,230,0,0,0,5,135,49,0,47,35,8,3,526,317,0
Iced Macchiato with Skim Milk and Sugar - Medium,Medium,170,0,0,0,5,100,37,0,35,26,6,2,401,237,0
Iced Macchiato with Skim Milk and Sugar - Small,Small,120,0,0,0,0,70,25,0,23,17,4,1,286,159,0
Iced Macchiato with Whole Milk - Large,Large,160,8,4.5,0,25,135,14,0,12,0,8,3,465,294,0
Iced Macchiato with Whole Milk - Medium,Medium,120,6,3.5,0,20,105,10,0,9,0,6,2,356,220,0
Iced Macchiato with Whole Milk - Small,Small,80,4,2.5,0,10,70,7,0,6,0,4,2,256,147,0
Iced Macchiato with Whole Milk and Sugar - Large,Large,290,8,4.5,0,25,140,49,0,46,35,8,3,466,294,0
Iced Macchiato with Whole Milk and Sugar - Small,Small,150,4,2.5,0,10,70,25,0,23,17,4,2,256,148,0
Iced Macchiato with Whole Milk and Sugar- Medium,Medium,220,6,3.5,0,20,105,37,0,35,26,6,2,356,220,0
Mocha Swirl Iced Macchiato with Skim Milk - Large,Large,300,1,0.5,0,5,160,65,2,58,46,10,3,876,327,2
Mocha Swirl Iced Macchiato with Skim Milk - Medium,Medium,230,1,0.5,0,5,125,49,2,43,34,7,2,664,245,2
Mocha Swirl Iced Macchiato with Skim Milk - Small,Small,150,0.5,0,0,0,85,33,1,29,23,5,1,461,164,1
Mocha Swirl Iced Macchiato with Whole Milk - Large,Large,370,9,5,0,25,170,64,2,57,46,9,3,816,305,2
Mocha Swirl Iced Macchiato with Whole Milk - Medium,Medium,280,7,4,0,20,125,48,2,43,34,7,2,619,228,2
Mocha Swirl Iced Macchiato with Whole Milk - Small,Small,180,4.5,2.5,0,10,85,32,1,29,23,5,2,431,153,1
